feature,Gain,IncNodePurity,High,Low
color.coldorwarmXsize2_freq,0.003983589,51338.40785,1,0
brand.groupXsize2_freq,0.000674943,51685.68996,1,0
color.coldorwarmXsize4_freq,0.004259037,51761.24481,1,0
size1Xrelweekday_freq,0.00156503,51786.8648,1,0
colorXmainCategory_freq,0.002867612,52449.55825,1,0
colorXrelmonthweek_freq,0.000284282,52505.20535,1,0
brandXsize1_freq,0.007666411,53079.79661,1,0
brandXsize2_freq,0.003657552,53878.66482,1,0
size2Xrelweekday_freq,0.00062736,53952.5218,1,0
colorXcategory_freq,0.003509479,55124.74927,1,0
color.coldorwarmXsize1_freq,0.007260467,55394.16332,1,0
colorXsize.shape_freq,0.005303686,56813.59604,1,0
colorXsize.body_freq,0.004169846,56955.05293,1,0
brand.Football.teamXsubCategory_freq,0.00084818,58493.01824,1,0
colorXrelweekday_freq,0.00121597,58676.52616,1,0
stock.units.cutCut3,0.002407729,60910.80064,1,0
colorXbrand.nation_freq,0.002673855,61079.72087,1,0
colorXbrand.group_freq,0.001098015,61618.581,1,0
brand.Football.playerXsubCategory_freq,0.001550525,61623.34385,1,0
trend.Nike_a_2,0.001351904,61753.28801,1,0
brand.other.playerXsubCategory_freq,0.000130826,62314.85295,1,0
brand.other.teamXsubCategory_freq,NA,62693.14183,1,0
brand.topXsubCategory_freq,0.001237946,62821.25485,1,0
pid.cut_freq,0.007911385,63124.73548,1,0
brand.NBA.playerXsubCategory_freq,1.59E-05,63953.60335,1,0
colorXsize3_freq,0.004149052,64311.81234,1,0
brand.NBA.teamXsubCategory_freq,0.00211509,64937.5115,1,0
stock.cut_freq,NA,65115.25388,1,0
colorXbrand.popularity_freq,0.002001799,65180.07212,1,0
brand.competitionXsubCategory_freq,0.001218429,65354.48961,1,0
subCategoryXsize.body_freq,0.005056951,66043.45234,1,0
colorXbrand_freq,0.007103597,67036.90766,1,0
subCategory_freq,0.002395608,67430.09052,1,0
trend.coupon_a_1,0.002684219,68026.69228,1,0
subCategoryXsize.shape_freq,0.005411167,68264.58879,1,0
trend.bonton_a_4,0.000866959,69736.19402,1,0
color.coldorwarmXsubCategory_freq,0.006604055,70310.29487,1,0
trend.adidas_b1,0.003577613,71508.34611,1,0
