,feature,IncNodePurity1,IncNodePurity2,IncNodePurity3,Gain,Gain1,Gain2,Gain3,High1(7),High2(6),Low1(5-50),Low2(6-100),RF_High,GB_High,RF_Low,GB_Low
658,trend.ReebokXbrand.NBA.player_freq,712.6007878,455.1221833,519.3565596,2.65E-06,4.31E-07,5.20E-06,3.83E-06,0,0,0,0,0,0,0,0
659,categoryXsize.child.cloth_freq,546.1327766,454.7748928,442.6562369,0.000266691,0.000118081,0.00035672,7.26E-05,0,0,0,0,0,0,0,0
660,trend.ConverseXbrand.Football.player_freq,900.0031982,454.5664334,552.228236,0.000173569,0.00016552,0.000150882,0.000162123,0,0,0,0,0,0,0,0
661,categoryXsize.shape_freq,357.2062139,453.8363665,394.6205869,0.000223814,0.000540063,0.000173099,0.000274719,0,0,0,0,0,0,0,0
662,stock.cut.4.5.14.5.,358.3551255,449.7880947,478.5138088,0.000124474,0.000138147,9.55E-05,0.000105722,0,0,0,0,0,0,0,0
663,brand.NBA.playerXsize3_freq,381.0035361,446.4942378,440.1700644,7.64E-07,1.72E-09,4.29E-09,NA,0,0,0,0,0,0,0,1
664,brand.topXcategory_freq,454.0781016,446.0869864,384.4479227,8.78E-05,1.87E-05,2.44E-05,2.53E-05,0,0,0,0,0,0,0,0
665,trend.11teamsporting43Xbrand.top_freq,745.6080056,445.969542,518.4071652,8.73E-05,9.01E-05,5.91E-05,0.000102754,0,0,0,0,0,0,0,0
666,stock.cut.38.5.64.5.,441.9962945,444.5901105,297.5370354,7.95E-05,6.29E-05,4.09E-05,0.000293985,0,0,0,0,0,0,0,0
667,trend.adidas,548.948205,440.4511469,587.4814056,0.000591583,0.00057763,0.000658833,0.000571013,0,0,0,0,0,0,0,0
668,brand.competitionXsize2_freq,572.2597475,434.3246994,430.4751343,0.000116562,0.000110004,0.000103465,0.000162077,0,0,0,0,0,0,0,0
669,trend.ReebokXbrand.Football.team_freq,520.0235392,431.9907616,575.7614859,2.32E-05,1.72E-05,2.06E-05,4.80E-05,0,0,0,0,0,0,0,0
670,color.coldorwarmXsize.body_freq,654.0407538,431.9482585,490.8089238,0.000592902,0.000534986,0.000562171,0.000575387,0,0,0,0,0,0,0,0
671,brand.nationXsize.body_freq,453.0622046,428.7267077,505.8995497,0.000119668,0.000125961,0.000124973,0.000106139,0,0,0,0,0,0,0,0
672,brand.Football.playerXsize4_freq,700.8894407,428.5263248,584.3655289,0.000157679,0.000115329,0.00012518,0.000167715,0,0,0,0,0,0,0,0
673,colorschwarz,549.0786788,427.2008614,401.0624144,0.000442681,0.00046379,0.000458602,0.000430319,0,0,0,0,0,0,0,0
674,trend.UhlsportXbrand.group_freq,601.244059,425.4542173,390.2340626,3.91E-05,5.33E-05,7.49E-05,9.13E-05,0,0,0,0,0,0,0,0
675,brand.other.playerXsize2_freq,595.3591664,418.9069459,492.2010667,8.92E-06,8.85E-06,5.69E-06,9.71E-06,0,0,0,0,0,0,0,0
676,stock.units.cutCut7,1150.148696,412.4464817,518.0146335,0.002459389,0.002520815,0.002403391,0.002125516,0,0,0,0,0,1,0,0
677,color.coldorwarmXrelweekday_freq,488.8980102,408.8179917,321.6635363,0.000139922,0.000179951,0.000143414,0.000203077,0,0,0,0,0,0,0,0
